brand_name,product_name,yt_username,overall_videos_viewcount_of_channel,channels_subscriber,first_five_avg_video_of_channel,engagement_rate_of_channel,video_views,video_duration,category,video_type,video_cost
mStock,mStock Trading App,@stockmarketbadshah,23658119,115000,1534,1.3,2127,00:12:44,Finance,Dedicated,7000
mStock,mStock Trading App,@theharshdalal,5699665,68900,1826,2.6,2814,00:15:36,Finance,Dedicated,10000
mStock,mStock Trading App,@stocklearners,9307539,131000,6919,5.3,16837,00:10:15,Finance,Integrated,27000
mStock,mStock Trading App,@marketsupport,39396854,221000,2248,1.0,1971,00:09:30,Finance,Dedicated,20000
mStock,mStock Trading App,@stock247bypoojasingh,26596506,268000,50713,18.9,5588,00:11:56,Finance,Dedicated,25000
mStock,mStock Trading App,@stock4retail,73289194,776000,35005,4.5,58850,00:14:43,Finance,Integrated,9000
mStock,mStock Trading App,@theanalystdeep,1689825,35800,1562,4.4,5253,00:15:52,Finance,Integrated,3000
mStock,mStock Trading App,@lts,25396548,236000,9200,3.9,2341,00:06:19,Finance,Dedicated,25000
mStock,mStock Trading App,@himanshutrader,946953,25800,2051,8.0,4281,00:08:50,Finance,Dedicated,10000
mStock,mStock Trading App,@bazarkepandit,61303135,368000,3317,0.9,1818,00:05:21,Finance,Dedicated,35000
mStock,mStock Trading App,@knowledgejazz,33765605,244000,10681,4.4,23772,00:08:23,Finance,Dedicated,35000
mStock,mStock Trading App,@mstradinganalysis2877,11228855,71500,12235,17.1,7191,00:09:41,Finance,Dedicated,55000
mStock,mStock Trading App,@sharetradeepoint,1941116,51700,6495,12.6,2741,00:09:31,Finance,Dedicated,5000
mStock,mStock Trading App,@shubh_kadam__,2636947,43400,1281,3.0,4272,00:19:24,Finance,Dedicated,7000
mStock,mStock Trading App,@camanojkumarjain,80805679,601000,20093,3.3,22443,00:11:21,Finance,Dedicated,150000
mStock,mStock Trading App,@tradersakshi,5725979,113000,2073,1.8,3894,00:17:44,Trading,Dedicated,25000
mStock,mStock Trading App,@7dreamsindiaofficial,8492641,228000,2789,1.2,1972,00:14:06,Finance,Integrated,15000
mStock,mStock Trading App,@missionmarketchannel,29256205,126000,11037,8.8,2637,00:12:50,Finance,Dedicated,8000
mStock,mStock Trading App,@ankitjain05,8370906,68600,3357,4.9,8980,00:12:12,Finance,Dedicated,15000
mStock,mStock Trading App,@pravinkhetan,15353187,355000,1741,0.5,5096,00:16:06,Finance,Dedicated,40000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,1597,00:11:02,Finance,Dedicated,4500
mStock,mStock Trading App,@thebullofdalalstreet,5335716,57100,1671,2.9,20771,00:10:11,Finance,Integrated,17000
mStock,mStock Trading App,@sharemarketanalysis,62896131,258000,1859,0.7,3774,00:05:56,Finance,Dedicated,7000
mStock,mStock Trading App,@officialsandeepmishra,17707526,144000,8912,6.2,2845,00:09:31,Trading,Dedicated,20000
mStock,mStock Trading App,@tradehunter458,3425788,96100,1443,1.5,9023,00:18:20,Finance,Integrated,8000
